Year,Survey,Title,dataSet,script
2015,Institutional Characteristics,"Educational offerings, organization, services and athletic associations(revised November 2017)",IC2015_Data_Stata.zip,IC2015_Stata.zip
2015,Institutional Characteristics,Student charges for academic year programs,IC2015_AY_Data_Stata.zip,IC2015_AY_Stata.zip
2015,Institutional Characteristics,Student charges by program (vocational programs),IC2015_PY_Data_Stata.zip,IC2015_PY_Stata.zip
2015,Institutional Characteristics,Response status for all survey components(revised November 2017),FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,12-Month Enrollment,12-month unduplicated headcount: 2014-15(revised November 2017),EFFY2015_Data_Stata.zip,EFFY2015_Stata.zip
2015,12-Month Enrollment,12-month instructional activity: 2014-15(revised November 2017),EFIA2015_Data_Stata.zip,EFIA2015_Stata.zip
2015,12-Month Enrollment,Response status for all survey components(revised November 2017),FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Admissions and Test Scores,"Admission considerations, applications, admissions, enrollees and test scores, fall 2015",ADM2015_Data_Stata.zip,ADM2015_Stata.zip
2015,Admissions and Test Scores,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2015",EF2015A_Data_Stata.zip,EF2015A_Stata.zip
2015,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2015",EF2015B_Data_Stata.zip,EF2015B_Stata.zip
2015,Fall Enrollment,Residence and migration of first-time freshman: Fall 2015,EF2015C_Data_Stata.zip,EF2015C_Stata.zip
2015,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2015",EF2015D_Data_Stata.zip,EF2015D_Stata.zip
2015,Fall Enrollment,Distance education status and level of student: Fall 2015,EF2015A_DIST_Data_Stata.zip,EF2015A_DIST_Stata.zip
2015,Fall Enrollment,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2014 to June 30, 2015(revised November 2017)",C2015_A_Data_Stata.zip,C2015_A_Stata.zip
2015,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2014 to June 30, 2015(revised November 2017)",C2015_B_Data_Stata.zip,C2015_B_Stata.zip
2015,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2014 to June 30, 2015(revised November 2017)",C2015_C_Data_Stata.zip,C2015_C_Stata.zip
2015,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2014 to June 30, 2015(revised November 2017)",C2015DEP_Data_Stata.zip,C2015DEP_Stata.zip
2015,Completions,Response status for all survey components(revised November 2017),FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2015-16",SAL2015_IS_Data_Stata.zip,SAL2015_IS_Stata.zip
2015,Instructional Staff/Salaries,Number and salary outlays for full-time nonmedical noninstructional staff by occupation: Academic year 2015-16,SAL2015_NIS_Data_Stata.zip,SAL2015_NIS_Stata.zip
2015,Instructional Staff/Salaries,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2015",S2015_OC_Data_Stata.zip,S2015_OC_Stata.zip
2015,Fall Staff,"Full-time instructional staff, by faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2015",S2015_SIS_Data_Stata.zip,S2015_SIS_Stata.zip
2015,Fall Staff,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2015",S2015_IS_Data_Stata.zip,S2015_IS_Stata.zip
2015,Fall Staff,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2015",S2015_NH_Data_Stata.zip,S2015_NH_Stata.zip
2015,Fall Staff,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Employees by Assigned Position,"Number of staff by occupational category, faculty and tenure status:  Fall 2015",EAP2015_Data_Stata.zip,EAP2015_Stata.zip
2015,Employees by Assigned Position,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Finance,Public institutions - GASB 34/35: Fiscal year 2015,F1415_F1A_Data_Stata.zip,F1415_F1A_Stata.zip
2015,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2015,F1415_F2_Data_Stata.zip,F1415_F2_Stata.zip
2015,Finance,Private for-profit institutions: Fiscal year 2015,F1415_F3_Data_Stata.zip,F1415_F3_Stata.zip
2015,Finance,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Student Financial Aid and Net Price,Student financial aid and net price: 2014-15,SFA1415_Data_Stata.zip,SFA1415_Stata.zip
2015,Student Financial Aid and Net Price,"Military Servicemembers and Veteran's Benefits, 2014-15",SFAV1415_Data_Stata.zip,SFAV1415_Stata.zip
2015,Student Financial Aid and Net Price,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2009 (4-year) and cohort year 2012 (2-year) institutions",GR2015_Data_Stata.zip,GR2015_Stata.zip
2015,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2012 (less-than-2-year institutions)",GR2015_L2_Data_Stata.zip,GR2015_L2_Stata.zip
2015,Graduation Rates,"Graduation rate data, 200% of normal time to complete - cohort year 2007  (4-year) and cohort year 2011 (less-than-4-year)  institutions",GR200_15_Data_Stata.zip,GR200_15_Stata.zip
2015,Graduation Rates,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2015,Academic Libraries,Academic Libaries: 2014-15,AL2015_Data_Stata.zip,AL2015_Stata.zip
2015,Academic Libraries,Response status for all survey components,FLAGS2015_Data_Stata.zip,FLAGS2015_Stata.zip
2014,Institutional Characteristics,Directory information,HD2014_Data_Stata.zip,HD2014_Stata.zip
2014,Institutional Characteristics,"Educational offerings, organization, services and athletic associations(revised August 2016)",IC2014_Data_Stata.zip,IC2014_Stata.zip
2014,Institutional Characteristics,Student charges for academic year programs,IC2014_AY_Data_Stata.zip,IC2014_AY_Stata.zip
2014,Institutional Characteristics,Student charges by program (vocational programs),IC2014_PY_Data_Stata.zip,IC2014_PY_Stata.zip
2014,Institutional Characteristics,Response status for all survey components(revised August 2016),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,12-Month Enrollment,12-month unduplicated headcount: 2013-14(revised August 2016),EFFY2014_Data_Stata.zip,EFFY2014_Stata.zip
2014,12-Month Enrollment,12-month instructional activity: 2013-14(revised August 2016),EFIA2014_Data_Stata.zip,EFIA2014_Stata.zip
2014,12-Month Enrollment,Response status for all survey components(revised August 2016),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Admissions and Test Scores,"Admission considerations, applications, admissions, enrollees and test scores, fall 2014(revised January 2017)",ADM2014_Data_Stata.zip,ADM2014_Stata.zip
2014,Admissions and Test Scores,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2014(revised January 2017)",EF2014A_Data_Stata.zip,EF2014A_Stata.zip
2014,Fall Enrollment,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2014(revised January 2017)",EF2014CP_Data_Stata.zip,EF2014CP_Stata.zip
2014,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2014(revised January 2017)",EF2014B_Data_Stata.zip,EF2014B_Stata.zip
2014,Fall Enrollment,Residence and migration of first-time freshman: Fall 2014(revised January 2017),EF2014C_Data_Stata.zip,EF2014C_Stata.zip
2014,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2014(revised January 2017)",EF2014D_Data_Stata.zip,EF2014D_Stata.zip
2014,Fall Enrollment,Distance education status and level of student: Fall 2014(revised January 2017),EF2014A_DIST_Data_Stata.zip,EF2014A_DIST_Stata.zip
2014,Fall Enrollment,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender:July 1, 2013 to June 30, 2014(revised August 2016)",C2014_A_Data_Stata.zip,C2014_A_Stata.zip
2014,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2013 to June 30, 2014 (revised August 2016)",C2014_B_Data_Stata.zip,C2014_B_Stata.zip
2014,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2013 to June 30, 2014(revised August 2016)",C2014_C_Data_Stata.zip,C2014_C_Stata.zip
2014,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2013 to June 30, 2014(revised August 2016)",C2014DEP_Data_Stata.zip,C2014DEP_Stata.zip
2014,Completions,Response status for all survey components(revised August 2016),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2014-15 (revised January 2017)",SAL2014_IS_Data_Stata.zip,SAL2014_IS_Stata.zip
2014,Instructional Staff/Salaries,Number and salary outlays for full-time nonmedical noninstructional staff by occupation: Academic year 2014-15 (revised January 2017),SAL2014_NIS_Data_Stata.zip,SAL2014_NIS_Stata.zip
2014,Instructional Staff/Salaries,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2014(revised January 2017)",S2014_OC_Data_Stata.zip,S2014_OC_Stata.zip
2014,Fall Staff,"Full-time instructional staff, by faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2014(revised January 2017)",S2014_SIS_Data_Stata.zip,S2014_SIS_Stata.zip
2014,Fall Staff,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2014(revised January 2017)",S2014_IS_Data_Stata.zip,S2014_IS_Stata.zip
2014,Fall Staff,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2014(revised January 2017)",S2014_NH_Data_Stata.zip,S2014_NH_Stata.zip
2014,Fall Staff,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Employees by Assigned Position,"Number of staff by occupational category, faculty and tenure status:  Fall 2014(revised January 2017)",EAP2014_Data_Stata.zip,EAP2014_Stata.zip
2014,Employees by Assigned Position,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Finance,Public institutions - GASB 34/35: Fiscal year 2014(revised January 2017),F1314_F1A_Data_Stata.zip,F1314_F1A_Stata.zip
2014,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2014(revised January 2017),F1314_F2_Data_Stata.zip,F1314_F2_Stata.zip
2014,Finance,Private for-profit institutions: Fiscal year 2014(revised January 2017),F1314_F3_Data_Stata.zip,F1314_F3_Stata.zip
2014,Finance,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Student Financial Aid and Net Price,Student financial aid and net price: 2013-14(revised January 2017),SFA1314_Data_Stata.zip,SFA1314_Stata.zip
2014,Student Financial Aid and Net Price,"Military Servicemembers and Veteran's Benefits, 2013-14(revised January 2017)",SFAV1314_Data_Stata.zip,SFAV1314_Stata.zip
2014,Student Financial Aid and Net Price,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2008 (4-year) and cohort year 2011 (2-year) institutions(revised January 2017)",GR2014_Data_Stata.zip,GR2014_Stata.zip
2014,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2011 (less-than-2-year institutions) (revised January 2017)",GR2014_L2_Data_Stata.zip,GR2014_L2_Stata.zip
2014,Graduation Rates,"Graduation rate data, 200% of normal time to complete - cohort year 2006  (4-year) and cohort year 2010 (less-than-4-year)  institutions(revised January 2017)",GR200_14_Data_Stata.zip,GR200_14_Stata.zip
2014,Graduation Rates,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2014,Academic Libraries,Academic Libaries: 2013-14(revised January 2017),AL2014_Data_Stata.zip,AL2014_Stata.zip
2014,Academic Libraries,Response status for all survey components(revised January 2017),FLAGS2014_Data_Stata.zip,FLAGS2014_Stata.zip
2013,Institutional Characteristics,Directory information,HD2013_Data_Stata.zip,HD2013_Stata.zip
2013,Institutional Characteristics,"Educational offerings, admissions, organization,  services and athletic associations(revised August 2015)",IC2013_Data_Stata.zip,IC2013_Stata.zip
2013,Institutional Characteristics,Student charges for academic year programs,IC2013_AY_Data_Stata.zip,IC2013_AY_Stata.zip
2013,Institutional Characteristics,Student charges by program (vocational programs),IC2013_PY_Data_Stata.zip,IC2013_PY_Stata.zip
2013,Institutional Characteristics,Response status for all survey components (revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,12-Month Enrollment,12-month unduplicated headcount: 2012-13 (revised August 2015),EFFY2013_Data_Stata.zip,EFFY2013_Stata.zip
2013,12-Month Enrollment,12-month instructional activity: 2012-13(revised August 2015),EFIA2013_Data_Stata.zip,EFIA2013_Stata.zip
2013,12-Month Enrollment,Response status for all survey components(revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Admissions and Test Scores,"Educational offerings, organization, applications, admissions, enrollees, test scores, services and athletic associations(revised August 2015)",IC2013_Data_Stata.zip,IC2013_Stata.zip
2013,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2013 (revised January 2016)",EF2013A_Data_Stata.zip,EF2013A_Stata.zip
2013,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2013 (revised January 2016)",EF2013B_Data_Stata.zip,EF2013B_Stata.zip
2013,Fall Enrollment,Residence and migration of first-time freshman: Fall 2013 (revised January 2016),EF2013C_Data_Stata.zip,EF2013C_Stata.zip
2013,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2013 (revised January 2016)",EF2013D_Data_Stata.zip,EF2013D_Stata.zip
2013,Fall Enrollment,Distance education status and level of student: Fall 2013 (revised January 2016),EF2013A_DIST_Data_Stata.zip,EF2013A_DIST_Stata.zip
2013,Fall Enrollment,Response status for all survey components (revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender:July 1, 2012 to June 30, 2013(revised August 2015)",C2013_A_Data_Stata.zip,C2013_A_Stata.zip
2013,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2012 to June 30, 2013(revised August 2015)",C2013_B_Data_Stata.zip,C2013_B_Stata.zip
2013,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2012 to June 30, 2013(revised August 2015)",C2013_C_Data_Stata.zip,C2013_C_Stata.zip
2013,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2012 to June 30, 2013(revised August 2015)",C2013DEP_Data_Stata.zip,C2013DEP_Stata.zip
2013,Completions,Response status for all survey components(revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2013-14 ( January 2016)",SAL2013_IS_Data_Stata.zip,SAL2013_IS_Stata.zip
2013,Instructional Staff/Salaries,Number and salary outlays for full-time nonmedical noninstructional staff by occupation: Academic year 2013-14 (revised  January 2016),SAL2013_NIS_Data_Stata.zip,SAL2013_NIS_Stata.zip
2013,Instructional Staff/Salaries,Response status for all survey components(revised  January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2013(revised  January 2016)",S2013_OC_Data_Stata.zip,S2013_OC_Stata.zip
2013,Fall Staff,"Full-time instructional staff, by faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2013(revised  January 2016)",S2013_SIS_Data_Stata.zip,S2013_SIS_Stata.zip
2013,Fall Staff,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2013(revised  January 2016)",S2013_IS_Data_Stata.zip,S2013_IS_Stata.zip
2013,Fall Staff,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2013(revised  January 2016)",S2013_NH_Data_Stata.zip,S2013_NH_Stata.zip
2013,Fall Staff,Response status for all survey components(revised  January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Employees by Assigned Position,"Number of staff by occupational category, faculty and tenure status:  Fall 2013(revised  January 2016)",EAP2013_Data_Stata.zip,EAP2013_Stata.zip
2013,Employees by Assigned Position,Response status for all survey components(revised  January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Finance,Public institutions - GASB 34/35: Fiscal year 2013(revised January 2016),F1213_F1A_Data_Stata.zip,F1213_F1A_Stata.zip
2013,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2013(revised January 2016),F1213_F2_Data_Stata.zip,F1213_F2_Stata.zip
2013,Finance,Private for-profit institutions: Fiscal year 2013(revised January 2016),F1213_F3_Data_Stata.zip,F1213_F3_Stata.zip
2013,Finance,Response status for all survey components(revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Student Financial Aid and Net Price,Student financial aid and net price: 2012-13 (revised January 2016),SFA1213_Data_Stata.zip,SFA1213_Stata.zip
2013,Student Financial Aid and Net Price,Response status for all survey components (revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2013,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2007 (4-year) and cohort year 2010 (2-year) institutions (revised January 2016)",GR2013_Data_Stata.zip,GR2013_Stata.zip
2013,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2010 (less-than-2-year institutions) (revised January 2016)",GR2013_L2_Data_Stata.zip,GR2013_L2_Stata.zip
2013,Graduation Rates,"Graduation rate data, 200% of normal time to complete - cohort year 2005  (4-year) and cohort year 2009 (less-than-4-year)  institutions (revised January 2016)",GR200_13_Data_Stata.zip,GR200_13_Stata.zip
2013,Graduation Rates,Response status for all survey components (revised January 2016),FLAGS2013_Data_Stata.zip,FLAGS2013_Stata.zip
2012,Institutional Characteristics,Directory information,HD2012_Data_Stata.zip,HD2012_Stata.zip
2012,Institutional Characteristics,"Educational offerings, organization, admissions, services and athletic associations  (revised August 2014)",IC2012_Data_Stata.zip,IC2012_Stata.zip
2012,Institutional Characteristics,Student charges for academic year programs,IC2012_AY_Data_Stata.zip,IC2012_AY_Stata.zip
2012,Institutional Characteristics,Student charges by program (vocational programs),IC2012_PY_Data_Stata.zip,IC2012_PY_Stata.zip
2012,Institutional Characteristics,Response status for all survey components (revised August 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,12-Month Enrollment,12-month unduplicated headcount: 2011-12  (revised August 2014),EFFY2012_Data_Stata.zip,EFFY2012_Stata.zip
2012,12-Month Enrollment,12-month instructional activity: 2011-12  (revised August 2014),EFIA2012_Data_Stata.zip,EFIA2012_Stata.zip
2012,Admissions and Test Scores,"Educational offerings, organization, applications, admissions, enrollees, test scores, services and athletic associations  (revised August 2014)",IC2012_Data_Stata.zip,IC2012_Stata.zip
2012,Fall Enrollment,"Race/ethnicity, gender, attendance status, and level of student: Fall 2012 (revised December 2014)",EF2012A_Data_Stata.zip,EF2012A_Stata.zip
2012,Fall Enrollment,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2012 (revised December 2014)",EF2012CP_Data_Stata.zip,EF2012CP_Stata.zip
2012,Fall Enrollment,"Age category, gender, attendance status, and level of student: Fall 2012 (revised December 2014)",EF2012B_Data_Stata.zip,EF2012B_Stata.zip
2012,Fall Enrollment,Residence and migration of first-time freshman: Fall 2012 (revised December 2014),EF2012C_Data_Stata.zip,EF2012C_Stata.zip
2012,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2012 (revised December 2014)",EF2012D_Data_Stata.zip,EF2012D_Stata.zip
2012,Fall Enrollment,Distance education status and level of student: Fall 2012 (revised December 2014),EF2012A_DIST_Data_Stata.zip,EF2012A_DIST_Stata.zip
2012,Fall Enrollment,Response status for all survey components(revised December 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender:July 1, 2011 to June 30, 2012  (revised August 2014)",C2012_A_Data_Stata.zip,C2012_A_Stata.zip
2012,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2011 to June 30, 2012  (revised August 2014)",C2012_B_Data_Stata.zip,C2012_B_Stata.zip
2012,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2011 to June 30, 2012  (revised August 2014)",C2012_C_Data_Stata.zip,C2012_C_Stata.zip
2012,Completions,Response status for all survey components (revised August 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2012-13 (revised December 2014)",SAL2012_IS_Data_Stata.zip,SAL2012_IS_Stata.zip
2012,Instructional Staff/Salaries,Number and salary outlays for full-time nonmedical  noninstructional staff by occupation: Academic year 2012-13 (revised December 2014),SAL2012_NIS_Data_Stata.zip,SAL2012_NIS_Stata.zip
2012,Instructional Staff/Salaries,Response status for all survey components (revised December 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2012 (revised December 2014)",S2012_OC_Data_Stata.zip,S2012_OC_Stata.zip
2012,Fall Staff,"Full-time instructional staff, by  faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2012 (revised December 2014)",S2012_SIS_Data_Stata.zip,S2012_SIS_Stata.zip
2012,Fall Staff,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2012 (revised December 2014)",S2012_IS_Data_Stata.zip,S2012_IS_Stata.zip
2012,Fall Staff,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2012 (revised December 2014)",S2012_NH_Data_Stata.zip,S2012_NH_Stata.zip
2012,Fall Staff,Response status for all survey components (revised December 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Employees by Assigned Position,"Number of staff by occupational category, faculty and tenure status:  Fall 2012(revised December 2014)",EAP2012_Data_Stata.zip,EAP2012_Stata.zip
2012,Employees by Assigned Position,Response status for all survey components (revised December 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Finance,Public institutions - GASB 34/35: Fiscal year 2012 (revised December 2014),F1112_F1A_Data_Stata.zip,F1112_F1A_Stata.zip
2012,Finance,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2012 (revised December 2014),F1112_F2_Data_Stata.zip,F1112_F2_Stata.zip
2012,Finance,Private for-profit institutions: Fiscal year 2012 (revised December 2014),F1112_F3_Data_Stata.zip,F1112_F3_Stata.zip
2012,Finance,Response status for all survey components (revised December 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Student Financial Aid and Net Price,Student financial aid and net price: 2011-12 (revised June 2014),SFA1112_Data_Stata.zip,SFA1112_Stata.zip
2012,Student Financial Aid and Net Price,Response status for all survey components (revised August 2014),FLAGS2012_Data_Stata.zip,FLAGS2012_Stata.zip
2012,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2006 (4-year) and cohort year 2009 (2-year) institutions(revised December 2014)",GR2012_Data_Stata.zip,GR2012_Stata.zip
2012,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2009 (less-than-2-year institutions) (revised December 2014)",GR2012_L2_Data_Stata.zip,GR2012_L2_Stata.zip
2012,Graduation Rates,"Graduation rate data, 200% of normal time to complete - cohort year 2004  (4-year) and cohort year 2008 (less-than-4-year)  institutions(revised December 2014)",GR200_12_Data_Stata.zip,GR200_12_Stata.zip
